,run,timestep,task_type,block_movement,sensory_state,surprisal
70,14,5,avoid,1,10,1.6376087894007967
71,14,5,avoid,1,11,1.9740810260220096
72,14,5,catch,-1,00,0.587786664902119
73,14,5,catch,-1,01,1.9740810260220096
74,14,5,catch,-1,10,1.9740810260220096
75,14,5,catch,-1,11,1.791759469228055
76,14,5,catch,1,00,0.6931471805599453
77,14,5,catch,1,01,1.791759469228055
78,14,5,catch,1,10,1.6376087894007967
79,14,5,catch,1,11,1.9740810260220096
80,14,6,avoid,-1,00,0.587786664902119
81,14,6,avoid,-1,01,1.9740810260220096
82,14,6,avoid,-1,10,1.9740810260220096
83,14,6,avoid,-1,11,1.791759469228055
84,14,6,avoid,1,00,0.587786664902119
85,14,6,avoid,1,01,2.4849066497880004
86,14,6,avoid,1,10,1.6376087894007967
87,14,6,avoid,1,11,1.791759469228055
88,14,6,catch,-1,00,0.6390799592896695
89,14,6,catch,-1,01,1.9740810260220096
90,14,6,catch,-1,10,1.791759469228055
91,14,6,catch,-1,11,1.791759469228055
92,14,6,catch,1,00,0.750305594399894
93,14,6,catch,1,01,1.6376087894007967
94,14,6,catch,1,10,1.6376087894007967
95,14,6,catch,1,11,1.9740810260220096
96,14,7,avoid,-1,00,0.587786664902119
97,14,7,avoid,-1,01,1.9740810260220096
98,14,7,avoid,-1,10,1.9740810260220096
99,14,7,avoid,-1,11,1.791759469228055
100,14,7,avoid,1,00,0.6390799592896695
101,14,7,avoid,1,01,2.1972245773362196
102,14,7,avoid,1,10,1.6376087894007967
103,14,7,avoid,1,11,1.791759469228055
104,14,7,catch,-1,00,0.6931471805599453
105,14,7,catch,-1,01,1.9740810260220096
106,14,7,catch,-1,10,1.6376087894007967
107,14,7,catch,-1,11,1.791759469228055
108,14,7,catch,1,00,0.8754687373538999
109,14,7,catch,1,01,1.5040773967762742
110,14,7,catch,1,10,1.6376087894007967
111,14,7,catch,1,11,1.791759469228055
112,14,8,avoid,-1,00,0.587786664902119
113,14,8,avoid,-1,01,1.9740810260220096
114,14,8,avoid,-1,10,1.9740810260220096
115,14,8,avoid,-1,11,1.791759469228055
116,14,8,avoid,1,00,0.6931471805599453
117,14,8,avoid,1,01,1.9740810260220096
118,14,8,avoid,1,10,1.6376087894007967
119,14,8,avoid,1,11,1.791759469228055
120,14,8,catch,-1,00,0.750305594399894
121,14,8,catch,-1,01,1.9740810260220096
122,14,8,catch,-1,10,1.5040773967762742
123,14,8,catch,-1,11,1.791759469228055
124,14,8,catch,1,00,1.0185695809945732
125,14,8,catch,1,01,1.2809338454620642
126,14,8,catch,1,10,1.6376087894007967
127,14,8,catch,1,11,1.791759469228055
128,14,9,avoid,-1,00,0.587786664902119
129,14,9,avoid,-1,01,1.9740810260220096
130,14,9,avoid,-1,10,1.9740810260220096
131,14,9,avoid,-1,11,1.791759469228055
132,14,9,avoid,1,00,0.6931471805599453
133,14,9,avoid,1,01,1.9740810260220096
134,14,9,avoid,1,10,1.6376087894007967
135,14,9,avoid,1,11,1.791759469228055
136,14,9,catch,-1,00,0.8754687373538999
137,14,9,catch,-1,01,1.9740810260220096
138,14,9,catch,-1,10,1.2809338454620642
139,14,9,catch,-1,11,1.791759469228055
140,14,9,catch,1,00,1.1856236656577395
141,14,9,catch,1,01,1.0986122886681098
142,14,9,catch,1,10,1.6376087894007967
143,14,9,catch,1,11,1.791759469228055
144,14,10,avoid,-1,00,0.587786664902119
145,14,10,avoid,-1,01,1.9740810260220096
146,14,10,avoid,-1,10,1.9740810260220096
147,14,10,avoid,-1,11,1.791759469228055
148,14,10,avoid,1,00,0.6931471805599453
149,14,10,avoid,1,01,1.9740810260220096
150,14,10,avoid,1,10,1.6376087894007967
151,14,10,avoid,1,11,1.791759469228055
152,14,10,catch,-1,00,1.0986122886681098
153,14,10,catch,-1,01,1.791759469228055
154,14,10,catch,-1,10,1.0986122886681098
155,14,10,catch,-1,11,1.791759469228055
156,14,10,catch,1,00,1.3862943611198906
157,14,10,catch,1,01,0.9444616088408514
158,14,10,catch,1,10,1.6376087894007967
159,14,10,catch,1,11,1.791759469228055
160,14,11,avoid,-1,00,0.6390799592896695
161,14,11,avoid,-1,01,1.791759469228055
162,14,11,avoid,-1,10,1.9740810260220096
163,14,11,avoid,-1,11,1.791759469228055
164,14,11,avoid,1,00,0.6931471805599453
165,14,11,avoid,1,01,1.9740810260220096
166,14,11,avoid,1,10,1.6376087894007967
167,14,11,avoid,1,11,1.791759469228055
168,14,11,catch,-1,00,1.1856236656577395
169,14,11,catch,-1,01,1.9740810260220096
